web_scraper_order,web_scraper_start_url,title,data,data2,name,data3,data4,data5,title2,data6,data7,data8,data9,data10,data11,data12,name2,data13,data14,data15,price,data16,title3,data17,data18,data19,data20,data21,data22,image
"1780573623-11","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Hand Embroidered on pure Pashmina Shawl: Kashmiri Wool Scarf (45x95)","By TooshPashminashawl","From shop TooshPashminashawl","TooshPashminashawl","","Sale Price ₹ 16,159","16,159","4.7","20,199","Original Price ₹ 20,199","(20% off)","(17)","More like this","By TooshPashminashawl","Shop owned by sitara","TooshPashminashawl","Add to cart","2.5 years on Etsy","sitara","Free delivery","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/25734426/r/il/779b36/7568480548/il_765x1020.7568480548_pfpv.jpg"
"1780573623-12","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Multi Embroidered Pashmina Shawl | Floral Aari Embroidery Kashmiri Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","Add to cart","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/d78297/7648279401/il_765x1020.7648279401_qh2s.jpg"
"1780573623-13","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Luxury Embroidered Pashmina Shawl, Ivory Kashmiri Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 7,061","7,061","4.2","14,123","Original Price ₹ 14,123","(50% off)","(5)","More like this","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","Add to cart","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/9498b3/8125640455/il_765x1020.8125640455_1hir.jpg"
"1780573623-14","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","100% Authentic Pure Kashmiri Pashmina Shawl | Reversible Olive Green & Teal Double-Sided Wrap | Handwoven Luxury Scarf | KPAS Certified","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","37,662","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","Limited stock","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/05f44f/8111812029/il_765x1020.8111812029_9h8b.jpg"
"1780573623-15","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Kani Weave luxury-feel fabric Pashmina Shawl: Black & Beige Winter Wrap (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 12,926","12,926","4.8","16,158","Original Price ₹ 16,158","(20% off)","(859)","More like this","Made by JKSowling","Shop owned by Lim","JKSowling","Add to cart","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/r/il/f24b5a/7176342209/il_765x1020.7176342209_ibpe.jpg"
"1780573623-16","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","100% Authentic Pure Kashmiri Pashmina Shawl, Handwoven Seafoam Blue Green Wrap, Ultra-Soft |KPAS Certified","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","22,178","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/r/il/91340a/8088986090/il_765x1020.8088986090_3yi2.jpg"
"1780573623-17","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","100% Authentic Pure Kashmiri Pashmina Shawl, Handwoven Rich Plum Purple Wrap, Ultra-Soft |KPAS Certified","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","22,178","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1792/1792/0/302/il/332f90/8079452882/il_765x1020.8079452882_absa.jpg"
"1780573623-18","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","100% Authentic Pure Kashmiri Pashmina Shawl, Handwoven Purple Blue Teal Striped Wrap, Ultra-Soft |KPAS Certified","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","24,556","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/r/il/1a3068/8079127598/il_765x1020.8079127598_dfdp.jpg"
"1780573623-19","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","100% Authentic Pure Kashmiri Pashmina Shawl, Handwoven Lavender Lilac Wrap, Ultra-Soft |KPAS Certified","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","22,178","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1682/1682/0/423/il/ba5163/8133855431/il_765x1020.8133855431_153p.jpg"
"1780573623-20","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Handwoven Kashmiri Pashmina Scarf | Lightweight Cashmere Shawl","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","13,989","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/a87e58/7446276422/il_765x1020.7446276422_a5yc.jpg"
"1780573623-21","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Authentic Kashmiri Pashmina Shawl – Hand Embroidered Aari Work | Luxury Winter Wrap | Bridal Gift | Warm Soft Scarf","By SaniaLoom","From shop SaniaLoom","SaniaLoom","","Sale Price ₹ 7,438","7,438","1.0","9,917","Original Price ₹ 9,917","(25% off)","(1)","More like this","Made by SaniaLoom","Shop owned by Waqas","SaniaLoom","Add to cart","1 year on Etsy","Waqas","Free delivery","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/57980406/r/il/9fc3f2/7602468631/il_765x1020.7602468631_6g01.jpg"
"1780573623-22","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Handwoven Pashmina Shawl: Kashmiri Embroidered Wrap (40x80)","Ad・By PashminaVogue","Ad from shop PashminaVogue","PashminaVogue","","Sale Price ₹ 165,000","165,000","4.9","220,000","Original Price ₹ 220,000","(25% off)","(200)","More like this","Made by PashminaVogue","Shop owned by Shahdab Ahmad","PashminaVogue","Add to cart","3 years on Etsy","Shahdab Ahmad","Free delivery","Dispatched from IN","","Add to Favourites","","","₹","・","₹","https://i.etsystatic.com/41369862/r/il/07d0af/5548183742/il_765x1020.5548183742_s7qq.jpg"
"1780573623-23","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Handmade white Pashmina Shawl, Kashmiri Sozni Embroidery, Wedding Gift","Ad・By GiftedHandsIN","Ad from shop GiftedHandsIN","GiftedHandsIN","","Sale Price ₹ 62,643","62,643","4.7","113,896","Original Price ₹ 113,896","(45% off)","(131)","More like this","Made by GiftedHandsIN","Shop owned by Abdul Rasheed","GiftedHandsIN","Add to cart","7 years on Etsy","Abdul Rasheed","Free delivery","Dispatched from IN","Limited stock","Add to Favourites","","","₹","・","₹","https://i.etsystatic.com/16722354/r/il/f44038/7931586783/il_765x1020.7931586783_aow6.jpg"
"1780573623-24","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Pashmina Embroidered Shawl for Women : Beige Silver Kashmiri Scarf","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,660","6,660","4.2","13,322","Original Price ₹ 13,322","(50% off)","(5)","More like this","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","Add to cart","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/3796d1/8081363004/il_765x1020.8081363004_46gu.jpg"
"1780573623-25","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Steel Grey Handloomed Soft Kani Pashmina Shawl with Floral Motifs","Ad・By ShahkaarKashmir","Ad from shop ShahkaarKashmir","ShahkaarKashmir","450,675","","","4.9","","","","(829)","More like this","Made by ShahkaarKashmir","Shop owned by Abdul Manan","ShahkaarKashmir","Add to cart","8 years on Etsy","Abdul Manan","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","・","","https://i.etsystatic.com/16835313/r/il/01e682/7906739371/il_765x1020.7906739371_1ao6.jpg"
"1780573623-26","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Authentic Pure Kashmiri Pashmina Shawl | Reversible Lime Green & Natural Beige Double-Sided Wrap | KPAS Certified Handwoven Luxury Scarf","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","37,662","","","5.0","","","","(3)","More like this","By BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","Limited stock","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1792/1792/0/299/il/f085c2/8063989262/il_765x1020.8063989262_6vns.jpg"
"1780573623-27","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Authentic Pure Handwoven Kashmiri Pashmina Shawl, Slate Grey Gold Zari, Reversible Double-Sided (KPAS Certified)","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","33,358","","","5.0","","","","(3)","More like this","By BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/r/il/888c6a/8122698395/il_765x1020.8122698395_n3f2.jpg"
"1780573623-28","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","100% Authentic Pure Kashmiri Pashmina Shawl Yellow | Embroidered Floral Wrap | Handwoven Oversized Scarf | KPAS Certified","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","67,792","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/r/il/4a0211/8068133212/il_765x1020.8068133212_t8mf.jpg"
"1780573623-29","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Navy Blue Pashmina Shawl | Authentic 100% Pure Kashmiri Hand Embroidered Wrap | Oversized Scarf |","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","83,933","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","Limited stock","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1792/1792/0/299/il/6b5587/8116137067/il_765x1020.8116137067_cg6w.jpg"
"1780573623-30","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Pashmina Shawl: Soft Cozy Wrap (40x90 inches)","By TooshPashminashawl","From shop TooshPashminashawl","TooshPashminashawl","","Sale Price ₹ 2,478","2,478","4.7","3,097","Original Price ₹ 3,097","(20% off)","(17)","More like this","Designed by TooshPashminashawl","Shop owned by sitara","TooshPashminashawl","Add to cart","2.5 years on Etsy","sitara","","","Limited stock","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/25734426/r/il/f5f130/7207086186/il_765x1020.7207086186_dvzc.jpg"
"1780573623-31","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Embroidered Pashmina Shawl | Intricate Paisley Aari Embroidery Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","Add to cart","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/5fae68/8082340046/il_765x1020.8082340046_swla.jpg"
"1780573623-32","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Blue Elephant Pashmina Shawl — Kanihama Kashmiri — Jacquard Weave, 40 × 80 in","By Pashore","From shop Pashore","Pashore","4,038","","","2.9","","","","(4)","More like this","Made by Pashore","Shop owned by Vinny","Pashore","Add to cart","3 months on Etsy","Vinny","","","","Add to Favourites","","₹","","","","https://i.etsystatic.com/64689929/r/il/7c94bd/7964594373/il_765x1020.7964594373_7bqv.jpg"
"1780573623-33","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Pure Kashmiri Pashmina Shawl | Handmade Embroidered Winter Wrap","By TimelessVaultByTalha","From shop TimelessVaultByTalha","TimelessVaultByTalha","11,108","","","5.0","","","","(19)","More like this","By TimelessVaultByTalha","Shop owned by Talha","TimelessVaultByTalha","Add to cart","8 months on Etsy","Talha","Free delivery","","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/57477002/r/il/111c17/7612334875/il_765x1020.7612334875_a7et.jpg"
"1780573623-34","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Authentic Pure Handwoven Kashmiri Pashmina Shawl, Deep Purple & Gold Zari, Reversible Double-Sided (KPAS Certified)","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","33,358","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1790/1790/0/305/il/dd4b84/8078779998/il_765x1020.8078779998_ke0g.jpg"
"1780573623-35","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Luxury Hand-Embroidered Pashmina Shawl for Women - Black Kashmiri Floral Wrap","By KashmirWeaves","From shop KashmirWeaves","KashmirWeaves","","Sale Price ₹ 7,161","7,161","","13,021","Original Price ₹ 13,021","(45% off)","","More like this","Made by KashmirWeaves","Shop owned by Kashmiri","KashmirWeaves","Add to cart","1 month on Etsy","Kashmiri","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/65465595/r/il/6c8f17/7904529138/il_765x1020.7904529138_bk32.jpg"
"1780573623-36","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Fine quality Greyish Kashmiri Pashmina Kani Weave Shawl – Very Soft, Lightweight (120g)  Wrap (40x80Inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 14,219","14,219","4.8","17,774","Original Price ₹ 17,774","(20% off)","(859)","More like this","By JKSowling","Shop owned by Lim","JKSowling","Add to cart","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/26145373/r/il/5a8995/7845836285/il_765x1020.7845836285_h87d.jpg"
"1780573623-37","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Kashmiri Wool Shawl: Embroidered Border, Lightweight Pashmina Feel","By Kashmina786","From shop Kashmina786","Kashmina786","","Sale Price ₹ 10,218","10,218","4.8","12,021","Original Price ₹ 12,021","(15% off)","(24)","More like this","Made by Kashmina786","Shop owned by Umer","Kashmina786","Add to cart","7 years on Etsy","Umer","Free delivery","","Limited stock","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/17750182/r/il/8a96b8/5346097433/il_765x1020.5346097433_6sva.jpg"
"1780573623-38","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Authentic Pashmina Kani Shawl | Luxury Mughal Art Embroidered Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 11,118","11,118","4.2","22,237","Original Price ₹ 22,237","(50% off)","(5)","More like this","By TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","Add to cart","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/d41536/8076243242/il_765x1020.8076243242_7yme.jpg"
"1780573623-39","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Pashmina Cape Shawl with Kashmiri Embroidery","By VoguebyFJ","From shop VoguebyFJ","VoguebyFJ","8,014","","","4.4","","","","(23)","More like this","Made by VoguebyFJ","11 months on Etsy","VoguebyFJ","Add to cart","","","Free delivery","","Limited stock","Add to Favourites","","₹","","","","https://i.etsystatic.com/59881000/r/il/079432/7347683381/il_765x1020.7347683381_ff5k.jpg"
"1780573623-40","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Royal Blue Handwoven Pure Pashmina Shawl |Hand Sozni Embroidery | Cashmere Scarf | Authentic Kashmiri Wrap","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","68,868","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/r/il/b74d83/7879152017/il_765x1020.7879152017_7rwm.jpg"
"1780573623-41","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Blue Hand Sozni Embroidered Pure Pashmina Shawl | Luxury Cashmere Wrap | Kashmiri Handcrafted Scarf |","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","91,465","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/c/1792/1792/0/299/il/964b0d/7955647813/il_765x1020.7955647813_a3ww.jpg"
"1780573623-42","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Authentic 100 % Pashmina Wedding Shawl, Black & Gold, Sozni Hand Embroidery, Handwoven Kashmiri Artisan Scarf, Luxury Wrap, Gift for Her","By HouseofArtiglo","From shop HouseofArtiglo","HouseofArtiglo","","Sale Price ₹ 26,045","26,045","5.0","40,069","Original Price ₹ 40,069","(35% off)","(4)","More like this","Designed by HouseofArtiglo","Shop owned by House of","HouseofArtiglo","Add to cart","4 months on Etsy","House of","Free delivery","","Limited stock","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63620573/c/1013/1013/5/27/il/2fe90b/7968426669/il_765x1020.7968426669_4sfu.jpg"
"1780573623-43","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Kani Moonlight Pashmina Shawl for Woman: Handwoven Kashmiri Shawl","By Shawsans","From shop Shawsans","Shawsans","","Sale Price ₹ 12,554","12,554","4.7","25,107","Original Price ₹ 25,107","(50% off)","(143)","More like this","By Shawsans","Shop owned by Muhammad","Shawsans","Add to cart","1 year on Etsy","Muhammad","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/59740729/c/757/757/51/280/il/8839f2/7680608171/il_765x1020.7680608171_erym.jpg"
"1780573623-44","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Authentic 100 % Pashmina Wedding Shawl, Blush Pink, Sozni Hand Embroidery, Handwoven Kashmiri Artisan Scarf, Luxury Wrap, Gift for Her","By HouseofArtiglo","From shop HouseofArtiglo","HouseofArtiglo","","Sale Price ₹ 26,045","26,045","5.0","40,069","Original Price ₹ 40,069","(35% off)","(4)","More like this","Designed by HouseofArtiglo","Shop owned by House of","HouseofArtiglo","Add to cart","4 months on Etsy","House of","Free delivery","","Limited stock","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63620573/c/855/855/3/37/il/83632b/7766270974/il_765x1020.7766270974_ntdj.jpg"
