web_scraper_order,web_scraper_start_url,pagination,title,data,data2,name,data3,data4,data5,title2,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,price,data17,title3,data18,data19,data20,data21,data22,data23,image
"1780573798-11","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Handmade Kashmiri pure Pashmina Shawl: Floral sozni Embroidered Border,","By TooshPashminashawl","From shop TooshPashminashawl","TooshPashminashawl","","Sale Price ₹ 23,700","23,700","4.7","29,625","Original Price ₹ 29,625","(20% off)","(17)","More like this","Add to cart","By TooshPashminashawl","Shop owned by sitara","TooshPashminashawl","2.5 years on Etsy","sitara","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/25734426/r/il/6a16b2/7697313888/il_765x1020.7697313888_c4xa.jpg"
"1780573798-12","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Kashmiri Aari Embroidered 100% Pure Wool Pashmina Shawl and Wrap","By ShafisbyGazala","From shop ShafisbyGazala","ShafisbyGazala","13,810","","","4.8","","","","(418)","More like this","Add to cart","Made by ShafisbyGazala","Shop owned by Gazala","ShafisbyGazala","6 years on Etsy","Gazala","","","","Add to Favourites","","₹","","","","https://i.etsystatic.com/21637146/c/1630/1630/264/333/il/7d71bd/4251812778/il_765x1020.4251812778_4esu.jpg"
"1780573798-13","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Gorgeous Ivory colored Pashmina with floral Border embroidery, Hand woven shawls, Noor Pashmina, Authentic Kashmiri Art","Ad・By Noorpashmina","Ad from shop Noorpashmina","Noorpashmina","","Sale Price ₹ 29,901","29,901","4.5","39,869","Original Price ₹ 39,869","(25% off)","(147)","More like this","Add to cart","Made by Noorpashmina","Shop owned by Ganesh","Noorpashmina","3 years on Etsy","Ganesh","Free delivery","Dispatched from IN","","Add to Favourites","","","₹","・","₹","https://i.etsystatic.com/37968599/r/il/9bb089/6222496869/il_765x1020.6222496869_7vko.jpg"
"1780573798-14","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Pakistani Embroidered Pashmina Shawl: Kashmiri Embroidery, Wedding Gift","Ad・By ShawsanShop","Ad from shop ShawsanShop","ShawsanShop","","Sale Price ₹ 5,905","5,905","4.9","11,810","Original Price ₹ 11,810","(50% off)","(55)","More like this","Add to cart","Made by ShawsanShop","Shop owned by Zainab","ShawsanShop","9 months on Etsy","Zainab","","","","Add to Favourites","Loading","","₹","・","₹","https://i.etsystatic.com/61780180/c/1024/1024/0/98/il/abfab3/7155506676/il_765x1020.7155506676_ia3r.jpg"
"1780573798-15","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Luxury Himalayan Wool Shawl Beige Blue Paisley Scarf, Elegant Kashmiri Style Stole Wrap for Women, Soft Lightweight Winter Gift","Ad・By RichynTraders","Ad from shop RichynTraders","RichynTraders","","Sale Price ₹ 7,385","7,385","4.9","10,550","Original Price ₹ 10,550","(30% off)","(89)","More like this","Add to cart","Made by RichynTraders","Shop owned by Charitra","RichynTraders","9 months on Etsy","Charitra","Free delivery","Dispatched from IN","","Add to Favourites","Loading","","₹","・","₹","https://i.etsystatic.com/60921567/r/il/3e16ea/7974002649/il_765x1020.7974002649_cwra.jpg"
"1780573798-16","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Pashmina Kashmiri Kani Shawl","Ad・By VoguebyFJ","Ad from shop VoguebyFJ","VoguebyFJ","12,021","","","4.4","","","","(23)","More like this","Add to cart","Made by VoguebyFJ","11 months on Etsy","VoguebyFJ","","","Free delivery","","","Add to Favourites","","₹","","・","","https://i.etsystatic.com/59881000/r/il/2d8374/7325943996/il_765x1020.7325943996_2htm.jpg"
"1780573798-17","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Kashmiri Pashmina Pure Sozni Bail Boti Scarf – Hand Embroidered Luxury Stole| Authentic Kashmiri Wrap for Women pashmina soft stole 30/80”","By AyeZaBoutiq","From shop AyeZaBoutiq","AyeZaBoutiq","20,835","","","4.8","","","","(188)","More like this","Add to cart","Designed by AyeZaBoutiq","Shop owned by AyeZa","AyeZaBoutiq","2.5 years on Etsy","AyeZa","Free delivery","","","Add to Favourites","","₹","","","","https://i.etsystatic.com/47467293/r/il/b0110c/7292155979/il_765x1020.7292155979_fz5c.jpg"
"1780573798-18","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Kashmiri Pashmina Pure Sozni Bail Boti Scarf – Hand Embroidered Luxury Stole | Authentic Kashmiri Wrap for Women pashmina shawl 30/80”","By AyeZaBoutiq","From shop AyeZaBoutiq","AyeZaBoutiq","20,835","","","4.8","","","","(188)","More like this","Add to cart","Designed by AyeZaBoutiq","Shop owned by AyeZa","AyeZaBoutiq","2.5 years on Etsy","AyeZa","Free delivery","","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/47467293/r/il/15ab5e/7244169130/il_765x1020.7244169130_4loy.jpg"
"1780573798-19","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Luxury Kashmiri Pashmina Shawl with  Stone Embroidery – Elegant Rose Pink Evening Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Add to cart","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/2e23c0/7914702302/il_765x1020.7914702302_mle9.jpg"
"1780573798-20","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Pure Pashmina Shawl, Brown Pashmina Shawl, Kashmiri Pashmina, Authentic Kashmiri Tilla, Hand Woven & Hand embroidered, Luxury Shawl.","By PoshArtsStore","From shop PoshArtsStore","PoshArtsStore","35,685","","","4.8","","","","(47)","More like this","Add to cart","Made by PoshArtsStore","Shop owned by Sara","PoshArtsStore","5 years on Etsy","Sara","Free delivery","","","Add to Favourites","","₹","","","","https://i.etsystatic.com/25062970/c/2217/2217/0/28/il/4bf3b7/5547522265/il_765x1020.5547522265_hu55.jpg"
"1780573798-21","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Elegant Black Kashmiri Pashmina Shawl - Floral Gold Embroidery Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 7,061","7,061","4.2","14,123","Original Price ₹ 14,123","(50% off)","(5)","More like this","Add to cart","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/75a6f3/8133729469/il_765x1020.8133729469_cej0.jpg"
"1780573798-22","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Black Hand Sozni Embroidered Pure Pashmina Shawl | Luxury Cashmere Wrap | Kashmiri Handcrafted Scarf","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","95,769","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/r/il/23578d/7929120382/il_765x1020.7929120382_3iss.jpg"
"1780573798-23","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Hand Embroidered Pure Pashmina Kashmir Shawl | Natural Beige Cashmere Wrap | Vibrant Floral Sozni Embroidery","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","69,944","","","5.0","","","","(3)","More like this","Add to cart","By BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/21c686/7953496834/il_765x1020.7953496834_acts.jpg"
"1780573798-24","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Pashmina Kashmiri Aari Embroidery Scarf, Embroidered Kashmiri Shawl, Winter Wrap, Christmas Gift","By ShawsanShop","From shop ShawsanShop","ShawsanShop","","Sale Price ₹ 5,294","5,294","4.9","10,588","Original Price ₹ 10,588","(50% off)","(55)","More like this","Add to cart","Made by ShawsanShop","Shop owned by Zainab","ShawsanShop","9 months on Etsy","Zainab","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/61780180/c/1680/1680/57/881/il/e354ad/7203416459/il_765x1020.7203416459_c60m.jpg"
"1780573798-25","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Authentic Tie-Dyed Pure Kashmiri Pashmina Shawl - Amber","Ad・By Bagaethnikliving","Ad from shop bagaethnikliving","Bagaethnikliving","25,451","","","4.7","","","","(82)","More like this","Add to cart","Made by bagaethnikliving","Shop owned by Rena","bagaethnikliving","4 years on Etsy","Rena","","","","Add to Favourites","","₹","","・","","https://i.etsystatic.com/30863918/r/il/b35b6f/6906551889/il_765x1020.6906551889_q8gx.jpg"
"1780573798-26","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","ONE OF A KIND Pashmina Scarf / Alpine Sage / Handwoven in Kashmir / Ikat Pattern / Luxury Ethical Wrap / Gift for Her and Him / Swiss Brand","Ad・By Houseofgaash","Ad from shop houseofgaash","Houseofgaash","35,907","","","","","","","","More like this","Add to cart","By houseofgaash","Shop owned by Gaash","houseofgaash","1 month on Etsy","Gaash","","","","Add to Favourites","","₹","","・","","https://i.etsystatic.com/65424814/r/il/721328/8084852391/il_765x1020.8084852391_e8pu.jpg"
"1780573798-27","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","BODHI - Large Pashmina Shawl, Handwoven in Kashmir, Ethically Sourced","Ad・By EspritdelHimalaya","Ad from shop EspritdelHimalaya","EspritdelHimalaya","39,226","","","5.0","","","","(181)","More like this","Add to cart","Designed by EspritdelHimalaya","Shop owned by Andréa","EspritdelHimalaya","4 years on Etsy","Andréa","Free delivery","Dispatched from IN","Limited stock","Add to Favourites","","₹","","・","","https://i.etsystatic.com/30383319/r/il/25deb8/6956978167/il_765x1020.6956978167_3edi.jpg"
"1780573798-28","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Embroidered Pashmina Shawl: Kashmiri Aari Floral Scarf","Ad・By Shawsans","Ad from shop Shawsans","Shawsans","","Sale Price ₹ 6,456","6,456","4.7","12,912","Original Price ₹ 12,912","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shop owned by Muhammad","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","Loading","","₹","・","₹","https://i.etsystatic.com/59740729/c/1800/1800/99/620/il/cb9708/7028399865/il_765x1020.7028399865_cpg1.jpg"
"1780573798-29","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Pashmina Kashmiri Aari Embroidery Scarf, Embroidered Kashmiri Shawl, Winter Wrap, Christmas Gift","By Shawsans","From shop Shawsans","Shawsans","","Sale Price ₹ 5,294","5,294","4.7","10,588","Original Price ₹ 10,588","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shop owned by Muhammad","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/59740729/c/2000/2000/0/558/il/a21506/6895498794/il_765x1020.6895498794_jayb.jpg"
"1780573798-30","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Authentic Pure Handwoven Kashmiri Pashmina Shawl, Natural Taupe Beige & Gold Zari, Reversible Double-Sided (KPAS Certified)","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","33,358","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/73bfe4/8123476391/il_765x1020.8123476391_4bqv.jpg"
"1780573798-31","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Luxury Pashmina Embroidery Shawl : Ivory Kashmiri Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 7,061","7,061","4.2","14,123","Original Price ₹ 14,123","(50% off)","(5)","More like this","Add to cart","By TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/b99b36/8125462383/il_765x1020.8125462383_d8z0.jpg"
"1780573798-32","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Authentic Sozni Embroidered Pashmina | Vibrant Paisley & Floral Pattern Wool Wrap | Pure Kashmiri Cashmere Scarf","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","188,311","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/379750/8040436829/il_765x1020.8040436829_s5ti.jpg"
"1780573798-33","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Mughal Darbar Black Kani Weave Pashmina Shawl: Pure Wool Wrap (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 13,357","13,357","4.8","16,697","Original Price ₹ 16,697","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/c/1037/1037/0/240/il/5e9af5/7277638961/il_765x1020.7277638961_kpin.jpg"
"1780573798-34","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Large Kashmiri Pashmina Kani Weave Shawl: Lightweight & Soft(40x80 Inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 10,771","10,771","4.8","13,465","Original Price ₹ 13,465","(20% off)","(859)","More like this","Add to cart","By JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/r/il/e19a45/7066296498/il_765x1020.7066296498_dz4p.jpg"
"1780573798-35","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Hand Embroidered Pure Pashmina Kashmir Shawl | Natural Beige Cashmere Wrap | Floral Sozni Embroidery","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","79,628","","","5.0","","","","(3)","More like this","Add to cart","By BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/41199a/7957923512/il_765x1020.7957923512_kx73.jpg"
"1780573798-36","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Women's Large Black Kashmiri Pashmina Shawl: Kani Weave (40""x80"")","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 12,495","12,495","4.8","15,619","Original Price ₹ 15,619","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/c/1001/1001/0/329/il/43dd7e/7696699168/il_765x1020.7696699168_rubr.jpg"
"1780573798-37","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Handwoven Kashmiri Pashmina Shawl: Tilla Embroidery, Pure Cashmere","Ad・By ShafisbyGazala","Ad from shop ShafisbyGazala","ShafisbyGazala","371,425","","","4.8","","","","(418)","More like this","Add to cart","Made by ShafisbyGazala","Shop owned by Gazala","ShafisbyGazala","6 years on Etsy","Gazala","","","","Add to Favourites","Loading","₹","","・","","https://i.etsystatic.com/21637146/c/1956/1956/168/1040/il/78d5e4/6424188411/il_765x1020.6424188411_scdm.jpg"
"1780573798-38","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Paper mache embroidery pure Pashmina shawl (40x80) inches","Ad・By TooshPashminashawl","Ad from shop TooshPashminashawl","TooshPashminashawl","","Sale Price ₹ 25,922","25,922","4.7","47,131","Original Price ₹ 47,131","(45% off)","(17)","More like this","Add to cart","By TooshPashminashawl","Shop owned by sitara","TooshPashminashawl","2.5 years on Etsy","sitara","Free delivery","","","Add to Favourites","","","₹","・","₹","https://i.etsystatic.com/25734426/r/il/7850fa/7247048354/il_765x1020.7247048354_lztg.jpg"
"1780573798-39","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Kashmiri 100% pure Pashmina Shawls","Ad・By SubisWardrobe","Ad from shop SubisWardrobe","SubisWardrobe","5,209","","","4.7","","","","(38)","More like this","Add to cart","By SubisWardrobe","Shop owned by Subi Jacob","SubisWardrobe","5 years on Etsy","Subi Jacob","","","","Add to Favourites","Loading","₹","","・","","https://i.etsystatic.com/16337844/r/il/a92e01/7568005133/il_765x1020.7568005133_7yfs.jpg"
"1780573798-40","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Luxury  Pashmina Paisley Shawl: Soft Peach Kashmiri-Inspired Design","Ad・By PalishqCollections0","Ad from shop PalishqCollections0","PalishqCollections0","21,619","","","5.0","","","","(19)","More like this","Add to cart","Made by PalishqCollections0","Shop owned by Jaswinder","PalishqCollections0","1.5 years on Etsy","Jaswinder","","","","Add to Favourites","","₹","","・","","https://i.etsystatic.com/56023419/r/il/a2db7f/7754800192/il_765x1020.7754800192_p1jy.jpg"
"1780573798-41","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Luxury Embroidered Pashmina Shawl : Ivory & Maroon Kashmiri Paisley Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Add to cart","By TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/34da60/8127341067/il_765x1020.8127341067_1wva.jpg"
"1780573798-42","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Embroidered Kashmiri Pashmina Shawl: Light Pink Silk Needlework Wrap","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 15,404","15,404","4.8","19,255","Original Price ₹ 19,255","(20% off)","(859)","More like this","Add to cart","By JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/26145373/r/il/d6330c/7590580166/il_765x1020.7590580166_ab2t.jpg"
"1780573798-43","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","New Arrival Embroidered /Aari Needlework Kashmiri Pashmina Shawl/ Winter Wrap (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 15,727","15,727","4.8","19,659","Original Price ₹ 19,659","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/26145373/c/956/956/0/482/il/c5d1dd/7696888534/il_765x1020.7696888534_ovc3.jpg"
