web_scraper_order,web_scraper_start_url,title,data,data2,name,data3,data4,data5,title2,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,price,data16,title3,data17,data18,data19,data20,data21,data22,data23,image
"1780573853-11","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Beige Pashmina Scarf: Kashmir Aari Embroidery, Woman Shawls","By Shawsans","From shop Shawsans","Shawsans","Sale Price ₹ 6,126","6,126","","4.7","12,251","Original Price ₹ 12,251","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/59740729/c/914/914/72/88/il/4d6b77/7268942335/il_765x1020.7268942335_odc3.jpg"
"1780573853-12","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Pure Handwoven Pashmina Shawl | Zari Sozni Embroidery, Kashmiri Masterpiece (200x70cm)","By KashCraftsUK","From shop KashCraftsUK","KashCraftsUK","Sale Price ₹ 96,195","96,195","","5.0","147,992","Original Price ₹ 147,992","(35% off)","(3)","More like this","Add to cart","By KashCraftsUK","KashCraftsUK","4 months on Etsy","Kash","","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/53243098/r/il/6ebade/7773151924/il_765x1020.7773151924_ffxd.jpg"
"1780573853-13","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Hand Embroidered Pashmina Jamavar Shawl: Kashmiri Paisley Design","Ad・By Shawsans","Ad from shop Shawsans","Shawsans","Sale Price ₹ 98,184","98,184","","4.7","196,368","Original Price ₹ 196,368","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","","Loading","₹","","・","₹","https://i.etsystatic.com/59740729/c/2000/2000/0/0/il/abe919/7007059005/il_765x1020.7007059005_kwxf.jpg"
"1780573853-14","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Pashmina Kashmiri Aari Embroidery Scarf, Embroidered Kashmiri Shawl, Winter Wrap, Christmas Gift","Ad・By ShawsanShop","Ad from shop ShawsanShop","ShawsanShop","Sale Price ₹ 5,294","5,294","","4.9","10,588","Original Price ₹ 10,588","(50% off)","(55)","More like this","Add to cart","Made by ShawsanShop","ShawsanShop","9 months on Etsy","Zainab","","","","Add to Favourites","","Loading","₹","","・","₹","https://i.etsystatic.com/61780180/c/1680/1680/57/881/il/e354ad/7203416459/il_765x1020.7203416459_c60m.jpg"
"1780573853-15","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Handmade Kashmiri pure Pashmina Shawl: Floral sozni Embroidered Border,","Ad・By TooshPashminashawl","Ad from shop TooshPashminashawl","TooshPashminashawl","Sale Price ₹ 23,700","23,700","","4.7","29,625","Original Price ₹ 29,625","(20% off)","(17)","More like this","Add to cart","By TooshPashminashawl","TooshPashminashawl","2.5 years on Etsy","sitara","Free delivery","","","Add to Favourites","","Loading","₹","","・","₹","https://i.etsystatic.com/25734426/r/il/6a16b2/7697313888/il_765x1020.7697313888_c4xa.jpg"
"1780573853-16","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Kashmiri Aari Embroidered 100% Pure Wool Pashmina Shawl and Wrap","Ad・By ShafisbyGazala","Ad from shop ShafisbyGazala","ShafisbyGazala","","","13,810","4.8","","","","(418)","More like this","Add to cart","Made by ShafisbyGazala","ShafisbyGazala","6 years on Etsy","Gazala","","","","Add to Favourites","","Loading","","₹","・","","https://i.etsystatic.com/21637146/r/il/8995dc/6390662396/il_765x1020.6390662396_34x2.jpg"
"1780573853-17","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Embroidered Pashmina Woman Shawl Handmade Kashmiri Shawls and Wraps, Animal Lover Gift","By ShawsanShop","From shop ShawsanShop","ShawsanShop","Sale Price ₹ 6,844","6,844","","4.9","13,688","Original Price ₹ 13,688","(50% off)","(55)","More like this","Add to cart","Made by ShawsanShop","ShawsanShop","9 months on Etsy","Zainab","","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/61780180/c/1024/1024/0/88/il/b597ea/7261080641/il_765x1020.7261080641_l7zw.jpg"
"1780573853-18","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Pashmina Kashmiri Kani Shawl","By VoguebyFJ","From shop VoguebyFJ","VoguebyFJ","","","12,021","4.4","","","","(23)","More like this","Add to cart","Made by VoguebyFJ","VoguebyFJ","","","Free delivery","","","Add to Favourites","11 months on Etsy","","","₹","","","https://i.etsystatic.com/59881000/r/il/c41589/7356941695/il_765x1020.7356941695_k7hc.jpg"
"1780573853-19","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Handmade Kashmiri Wool Shawl: Traditional Needle Embroidery, White Pashmina Wrap","By SaniaLoom","From shop SaniaLoom","SaniaLoom","Sale Price ₹ 13,448","13,448","","1.0","17,931","Original Price ₹ 17,931","(25% off)","(1)","More like this","Add to cart","Made by SaniaLoom","SaniaLoom","1 year on Etsy","Waqas","Free delivery","","","Add to Favourites","","","₹","","","₹","https://i.etsystatic.com/57980406/r/il/a049f6/7095782982/il_765x1020.7095782982_5yh0.jpg"
"1780573853-20","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Fine Quality Lightweight Pashmina Kani Weave Shawl: Soft Kashmir Wool Wrap (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 14,219","14,219","","4.8","17,774","Original Price ₹ 17,774","(20% off)","(859)","More like this","Add to cart","By JKSowling","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","","₹","https://i.etsystatic.com/26145373/c/1047/1047/0/437/il/5a0ad5/7911714271/il_765x1020.7911714271_h8cd.jpg"
"1780573853-21","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Pakistani Embroidered Pashmina Shawl: Kashmiri Embroidery, Wedding Gift","By ShawsanShop","From shop ShawsanShop","ShawsanShop","Sale Price ₹ 5,905","5,905","","4.9","11,810","Original Price ₹ 11,810","(50% off)","(55)","More like this","Add to cart","Made by ShawsanShop","ShawsanShop","9 months on Etsy","Zainab","","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/61780180/c/1024/1024/0/98/il/abfab3/7155506676/il_765x1020.7155506676_ia3r.jpg"
"1780573853-22","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Pure Wool Pashmina Kani Weave Shawl, Kashmiri Stole (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 13,572","13,572","","4.8","16,966","Original Price ₹ 16,966","(20% off)","(859)","More like this","Add to cart","By JKSowling","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/26145373/r/il/169d88/7430654052/il_765x1020.7430654052_n3dm.jpg"
"1780573853-23","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Handmade 100% Wool Kashmiri Shawl | Traditional Unisex Pattu Shawl | Authentic Ethnic Heritage","By MountainsHeritage","From shop MountainsHeritage","MountainsHeritage","","","9,516","","","","","","More like this","Add to cart","Made by MountainsHeritage","MountainsHeritage","1 month on Etsy","ayaz","Free delivery","","","Add to Favourites","","","","₹","","","https://i.etsystatic.com/65502929/r/il/6c5e08/7908633430/il_765x1020.7908633430_s7aj.jpg"
"1780573853-24","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Handmade Full Embroidery Kashmiri Work Shawl | Pashmina Scarf: Festival Fringe Wrap","By SaniaLoom","From shop SaniaLoom","SaniaLoom","Sale Price ₹ 9,692","9,692","","1.0","12,922","Original Price ₹ 12,922","(25% off)","(1)","More like this","Add to cart","Made by SaniaLoom","SaniaLoom","1 year on Etsy","Waqas","Free delivery","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/57980406/r/il/a7a4e6/7239867203/il_765x1020.7239867203_p58z.jpg"
"1780573853-25","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Luxury Kani Wool Shawl – Multicolor Kashmiri Paisley Wrap, Magenta Winter Shawl","Ad・By PalishqCollections0","Ad from shop PalishqCollections0","PalishqCollections0","","","7,927","5.0","","","","(19)","More like this","Add to cart","Made by PalishqCollections0","PalishqCollections0","1.5 years on Etsy","Jaswinder","","","Limited stock","Add to Favourites","","","","₹","・","","https://i.etsystatic.com/56023419/r/il/61b003/7754882410/il_765x1020.7754882410_dc5c.jpg"
"1780573853-26","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Silver Grey Cashmere Scarf Women | 100% Pure Pashmina Shawl | Handwoven Nepal | Luxury Cashmere Gift | Ultra Light Himalayan Wrap","Ad・By HimalayaPashminaDE","Ad from shop HimalayaPashminaDE","HimalayaPashminaDE","","","15,145","4.8","","","","(9)","More like this","Add to cart","Made by HimalayaPashminaDE","HimalayaPashminaDE","4 months on Etsy","Suresh","","","","Add to Favourites","","Loading","","₹","・","","https://i.etsystatic.com/63957991/r/il/d44765/8030389050/il_765x1020.8030389050_6vi6.jpg"
"1780573853-27","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Kashmiri Nalain Shawl - Fajr al-Harir","Ad・By KanzOfficialCo","Ad from shop KanzOfficialCo","KanzOfficialCo","","","5,386","5.0","","","","(5)","More like this","Add to cart","Made by KanzOfficialCo","KanzOfficialCo","2 months on Etsy","Kanz","","","Limited stock","Add to Favourites","","","","₹","・","","https://i.etsystatic.com/61872881/r/il/385ff8/7921805961/il_765x1020.7921805961_22gu.jpg"
"1780573853-28","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Kashmiri Pashmina Kani Embroidered Shawl: Brown Floral Multi Paisley Wool, Soft & Lightweight 1 Pc","Ad・By LillyMittalFashions","Ad from shop LillyMittalFashions","LillyMittalFashions","","","5,252","4.9","","","","(4.1k)","More like this","Add to cart","Made by LillyMittalFashions","LillyMittalFashions","","","","","","Add to Favourites","","Loading","","₹","・","","https://i.etsystatic.com/13194064/r/il/b986b8/7766211474/il_765x1020.7766211474_jnb1.jpg"
"1780573853-29","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Handmade Purple Pashmina Shawl | Kashmiri Shawl with Embroidery | Wrap for Women","By TimelessVaultByTalha","From shop TimelessVaultByTalha","TimelessVaultByTalha","","","13,870","5.0","","","","(19)","More like this","Add to cart","By TimelessVaultByTalha","TimelessVaultByTalha","8 months on Etsy","Talha","Free delivery","","","Add to Favourites","","Loading","","₹","","","https://i.etsystatic.com/57477002/r/il/9c9fd2/7626534556/il_765x1020.7626534556_kzyh.jpg"
"1780573853-30","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Authentic Kashmiri Kani Shawl Teal Rust Paisley | Handwoven Luxury Heritage Pashmina Wrap","By OheynaEssentials","From shop OheynaEssentials","OheynaEssentials","","","18,030","5.0","","","","(2)","More like this","Add to cart","By OheynaEssentials","OheynaEssentials","1.5 years on Etsy","Oheyna Designs","","","","Add to Favourites","","","","₹","","","https://i.etsystatic.com/54986567/c/1024/1024/0/256/il/29353e/7640357388/il_765x1020.7640357388_25j2.jpg"
"1780573853-31","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Royal Green Pure Embroidered Kani Pashmina Shawl for Women, Lightweight Kashmiri Summer Shawl, Handmade Luxury Wrap","By TimelessVaultByTalha","From shop TimelessVaultByTalha","TimelessVaultByTalha","","","12,596","5.0","","","","(19)","More like this","Add to cart","Made by TimelessVaultByTalha","TimelessVaultByTalha","8 months on Etsy","Talha","Free delivery","","","Add to Favourites","","Loading","","₹","","","https://i.etsystatic.com/57477002/r/il/7bbf45/8074883435/il_765x1020.8074883435_f3ly.jpg"
"1780573853-32","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Fine Quality Light weigt & soft /Kashmiri Pashmina Kani Weave Shawl/ Winter Wrap (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 8,940","8,940","","4.8","11,175","Original Price ₹ 11,175","(20% off)","(859)","More like this","Add to cart","By JKSowling","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","","₹","https://i.etsystatic.com/26145373/r/il/2d9f08/7948678420/il_765x1020.7948678420_qzmi.jpg"
"1780573853-33","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Embroidered Handmade Pashmina Shawl, Pure Kani work Kashmiri Wrap","By TimelessVaultByTalha","From shop TimelessVaultByTalha","TimelessVaultByTalha","","","13,010","5.0","","","","(19)","More like this","Add to cart","By TimelessVaultByTalha","TimelessVaultByTalha","8 months on Etsy","Talha","Free delivery","","","Add to Favourites","","Loading","","₹","","","https://i.etsystatic.com/57477002/r/il/0ccba2/7983090864/il_765x1020.7983090864_cian.jpg"
"1780573853-34","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Embroidered Pashmina Shawl: Kashmiri Aari Floral Scarf","By Shawsans","From shop Shawsans","Shawsans","Sale Price ₹ 6,456","6,456","","4.7","12,912","Original Price ₹ 12,912","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/59740729/c/1800/1800/99/620/il/cb9708/7028399865/il_765x1020.7028399865_cpg1.jpg"
"1780573853-35","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Black Kashmiri Pashmina Shawl for Women | Multicolor Floral Embroidered Shawl","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","Sale Price ₹ 6,160","6,160","","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Add to cart","Made by TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/63337261/r/il/897179/7512759715/il_765x1020.7512759715_cn21.jpg"
"1780573853-36","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Luxurious Beige Pashmina Kani Weave Shawl – Very Soft, Lightweight (120g)  Wrap (40x80Inches)","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 14,111","14,111","","4.8","17,639","Original Price ₹ 17,639","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/26145373/c/1966/1966/0/496/il/1ac94a/7594305532/il_765x1020.7594305532_gncl.jpg"
"1780573853-37","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Luxury Handmade Cashmere Embroidered Shawl | Pashmina Scarf Wrap for Women | Elegant Gift for Her","Ad・By WillowWeaveStudio","Ad from shop WillowWeaveStudio","WillowWeaveStudio","Sale Price ₹ 2,894","2,894","","4.7","5,788","Original Price ₹ 5,788","(50% off)","(66)","More like this","Add to cart","Made by WillowWeaveStudio","WillowWeaveStudio","4 months on Etsy","Lucy","","","","Add to Favourites","","","₹","","・","₹","https://i.etsystatic.com/63909346/r/il/d12ee4/7927041662/il_765x1020.7927041662_sr4a.jpg"
"1780573853-38","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Dusty Brown Authentic Pashmina Shawl, Chain stitch Embroidery, Multicolor Needlework, Masterpiece, Gift , King of wool, kashmiri shawls","Ad・By Noorpashmina","Ad from shop Noorpashmina","Noorpashmina","Sale Price ₹ 19,534","19,534","","4.5","26,045","Original Price ₹ 26,045","(25% off)","(147)","More like this","Add to cart","By Noorpashmina","Noorpashmina","3 years on Etsy","Ganesh","Free delivery","Dispatched from IN","","Add to Favourites","","","₹","","・","₹","https://i.etsystatic.com/37968599/r/il/e485e0/6203056834/il_765x1020.6203056834_2yk1.jpg"
"1780573853-39","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Authentic Yak wool shawl,High quality Pashmina Paisley Reversible shawl,Winter Sofa Throw/Handmade unisex Reversible blanket,Christmasgift","Ad・By NihalTextiles","Ad from shop NihalTextiles","NihalTextiles","Sale Price ₹ 14,144","14,144","","4.8","17,680","Original Price ₹ 17,680","(20% off)","(62)","More like this","Add to cart","Made by NihalTextiles","NihalTextiles","5 years on Etsy","Amanpreet","Free delivery","Dispatched from IN","","Add to Favourites","","Loading","₹","","・","₹","https://i.etsystatic.com/25733636/c/1688/1688/0/1312/il/83330b/3272758190/il_765x1020.3272758190_61o8.jpg"
"1780573853-40","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Premium Quality Pashmina & Cashmere Scarf and Shawls for Weddings and all occassions","Ad・By IKONSTAR","Ad from shop IKONSTAR","IKONSTAR","Sale Price ₹ 5,789","5,789","","4.7","6,432","Original Price ₹ 6,432","(10% off)","(12)","More like this","Add to cart","Made by IKONSTAR","IKONSTAR","","","","","","Add to Favourites","","","₹","","・","₹","https://i.etsystatic.com/34226545/r/il/14d3b6/3637608406/il_765x1020.3637608406_5fly.jpg"
"1780573853-41","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Large Blue Jacquard Pashmina Wool Shawl – Elegant Winter Wrap (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 8,617","8,617","","4.8","10,771","Original Price ₹ 10,771","(20% off)","(859)","More like this","Add to cart","By JKSowling","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","","","₹","","","₹","https://i.etsystatic.com/26145373/r/il/1e9395/4674040447/il_765x1020.4674040447_mat9.jpg"
"1780573853-42","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Pashmina Kashmiri Aari Embroidery Scarf, Embroidered Kashmiri Shawl, Winter Wrap, Christmas Gift","By Shawsans","From shop Shawsans","Shawsans","Sale Price ₹ 5,294","5,294","","4.7","10,588","Original Price ₹ 10,588","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/59740729/c/2000/2000/0/267/il/df58a1/6940619511/il_765x1020.6940619511_1sde.jpg"
"1780573853-43","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","New Arrival Red Aari Embroidered Pashmina Shawl: Bridal Shawl(28 x 80Inches)","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 10,314","10,314","","4.8","12,892","Original Price ₹ 12,892","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/26145373/c/1215/1215/18/250/il/8e351b/7358248146/il_765x1020.7358248146_1rv7.jpg"
"1780573853-44","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Luxury Embroidered Pashmina Shawl – Beige Floral Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","Sale Price ₹ 7,061","7,061","","4.2","14,123","Original Price ₹ 14,123","(50% off)","(5)","More like this","Add to cart","By TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/63337261/r/il/bc358b/8142010099/il_765x1020.8142010099_dpec.jpg"
"1780573853-45","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Handmade Kashmiri pure Pashmina Shawl: Floral sozni Embroidered Border,","By TooshPashminashawl","From shop TooshPashminashawl","TooshPashminashawl","Sale Price ₹ 23,700","23,700","","4.7","29,625","Original Price ₹ 29,625","(20% off)","(17)","More like this","Add to cart","By TooshPashminashawl","TooshPashminashawl","2.5 years on Etsy","sitara","Free delivery","","Limited stock","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/25734426/r/il/376f2d/7745278307/il_765x1020.7745278307_hch5.jpg"
